A,K,VLL,ELBO,ARI,Clusters,BIC
1869.983113,892.3225889,-5038742.319,1.78545E+13,0.562832162,2,14696474.94
910.1542776,1196.905129,-2818285.728,1.78545E+13,0.562832162,2,10255561.76
1930.614237,1596.370486,-3526586.306,1.78545E+13,0.562832162,2,11672162.91
83.33932655,1936.397464,-615688.3755,1.78545E+13,0.450581911,3,8159864.506
942.4413152,165.9447939,-9041038.362,1.78545E+13,0.562832162,2,22701067.03
1567.361404,1667.404816,-3102345.44,1.78545E+13,0.562832162,2,10823681.18
1945.338472,1950.022587,-3141679.228,1.78545E+13,0.562832162,2,10902348.76
61.70330952,629.3393987,-960061.4543,1.78545E+13,0.428867138,4,11158108.12
843.2525518,198.1224091,-7852986.191,1.78545E+13,0.562832162,2,20324962.68
1605.494656,1026.413839,-4261596.353,1.78545E+13,0.562832162,2,13142183.01
1690.206196,579.1968231,-6370053.601,1.78545E+13,0.562832162,2,17359097.5
205.3202246,1007.121641,-1269839.692,1.78545E+13,0.509956564,3,9468167.138
1361.545143,603.63398,-5532899.988,1.78545E+13,0.562832162,2,15684790.28
1393.905042,710.4667973,-5037115.549,1.78545E+13,0.562832162,2,14693221.4
11.98066008,206.6119121,-1138740.958,1.78545E+13,0.365571632,6,16134462.03
47.02570429,325.9294762,-1232894.509,1.78545E+13,0.439034773,3,9394276.773
1910.40945,1306.174951,-3975767.822,1.78545E+13,0.562832162,2,12570525.95
870.5607777,1046.712618,-2987899.215,1.78545E+13,0.562832162,2,10594788.73
1552.744619,1976.251938,-2794307.614,1.78545E+13,0.562832162,2,10207605.53
1718.135194,583.1012011,-6395006.251,1.78545E+13,0.562832162,2,17409002.8
147.8884833,1983.229393,-757477.1213,1.78545E+13,0.456326504,3,8443441.998
1259.036027,1267.252341,-3272704.676,1.78545E+13,0.562832162,2,11164399.65
186.2214527,1715.642892,-904087.5113,1.78545E+13,0.479113961,3,8736662.778
1663.208001,374.8986786,-8304600.169,1.78545E+13,0.562832162,2,21228190.64
1722.549291,1049.216494,-4352656.437,1.78545E+13,0.562832162,2,13324303.18
787.6004026,910.8858343,-3073859.498,1.78545E+13,0.562832162,2,10766709.3
294.0681254,1347.099858,-1318561.493,1.78545E+13,0.562832162,2,7256113.288
442.8242776,353.5722829,-3838105.97,1.78545E+13,0.562832162,2,12295202.24
1964.969813,491.8298826,-7623463.917,1.78545E+13,0.562832162,2,19865918.14
1510.055725,1160.062458,-3815057.443,1.78545E+13,0.562832162,2,12249105.19
1628.36933,1974.168381,-2863482.968,1.78545E+13,0.562832162,2,10345956.24
