a0,b0,VLL,ELBO,ARI,CL,BIC
1138.343858,590.16695,-247468.5138,1.78545E+13,0.562832162,2,5113927.329
1286.222734,797.7055749,-248616.4014,1.78545E+13,0.562832162,2,5116223.105
93.37824035,1267.554914,-231475.3255,1.22466E+13,1,3,7391438.406
1767.540191,1007.101072,-271247.4197,1.78545E+13,0.562832162,2,5161485.141
932.0723292,500.7028993,-236854.517,1.78545E+13,0.562832162,2,5092699.336
554.0827841,526.9243311,-214292.3533,1.78545E+13,0.562832162,2,5047575.008
1497.137005,159.6080787,-373793.4247,1.78545E+13,0.562832162,2,5366577.151
366.4852995,1569.625349,-219982.0043,1.78545E+13,0.562832162,2,5058954.31
207.6583651,312.6682396,-210340.0151,1.78545E+13,0.562832162,2,5039670.332
1445.87672,585.9245352,-271740.3945,1.78545E+13,0.562832162,2,5162471.091
1942.330995,126.2425789,-489224.4942,1.78545E+13,0.562832162,2,5597439.29
1049.32776,1851.110914,-221762.144,1.78545E+13,0.562832162,2,5062514.59
1791.309835,1933.665077,-245980.1994,1.78545E+13,0.562832162,2,5110950.701
567.8441859,628.373816,-214006.3406,1.78545E+13,0.562832162,2,5047002.983
1003.527685,1315.649997,-152694.9098,1.22466E+13,1,3,7233877.575
431.2524253,107.4999357,-235163.6102,1.78545E+13,0.562832162,2,5089317.522
910.4260974,720.330541,-228233.2813,1.78545E+13,0.562832162,2,5075456.864
1383.549161,26.071436,-737335.3565,1.78545E+13,0.562832162,2,6093661.015
1824.405173,1027.867131,-274001.4589,1.78545E+13,0.562832162,2,5166993.219
1105.752512,1650.071422,-224532.5059,1.78545E+13,0.562832162,2,5068055.313
1312.320358,1937.555105,-228502.7852,1.78545E+13,0.562832162,2,5075995.872
150.8874788,1925.501304,-228583.1878,1.22466E+13,1,3,7385654.131
1125.959421,1107.286806,-231612.116,1.78545E+13,0.562832162,2,5082214.534
875.2479747,1073.357564,-221531.6073,1.78545E+13,0.562832162,2,5062053.516
1869.983113,892.3225889,-284202.2465,1.78545E+13,0.562832162,2,5187394.795
910.1542776,1196.905129,-153462.6591,1.22466E+13,1,3,7235413.073
1930.614237,1596.370486,-259853.9846,1.78545E+13,0.562832162,2,5138698.271
83.33932655,1936.397464,-250188.9414,1.22466E+13,1,3,7428865.638
942.4413152,165.9447939,-284511.8423,1.78545E+13,0.562832162,2,5188013.986
1567.361404,1667.404816,-147641.2628,1.22466E+13,1,3,7223770.281
1945.338472,1950.022587,-252068.6589,1.78545E+13,0.562832162,2,5123127.619
61.70330952,629.3393987,-223578.2433,1.22466E+13,1,3,7375644.242
843.2525518,198.1224091,-261012.1142,1.78545E+13,0.562832162,2,5141014.53
1605.494656,1026.413839,-260137.3617,1.78545E+13,0.562832162,2,5139265.025
1690.206196,579.1968231,-293052.1307,1.78545E+13,0.562832162,2,5205094.563
205.3202246,1007.121641,-196344.8847,1.22466E+13,1,3,7321177.525
1361.545143,603.63398,-263709.9215,1.78545E+13,0.562832162,2,5146410.145
1393.905042,710.4667973,-259932.7784,1.78545E+13,0.562832162,2,5138855.858
11.98066008,206.6119121,-231305.529,1.22466E+13,1,3,7391098.813
47.02570429,325.9294762,-215187.954,1.22466E+13,1,3,7358863.663
1910.40945,1306.174951,-146149.5442,1.22466E+13,1,3,7220786.844
870.5607777,1046.712618,-221598.4399,1.78545E+13,0.562832162,2,5062187.182
1552.744619,1976.251938,-149655.3678,1.22466E+13,1,3,7227798.491
1718.135194,583.1012011,-295120.0488,1.78545E+13,0.562832162,2,5209230.399
147.8884833,1983.229393,-230403.6673,1.22466E+13,1,3,7389295.09
1259.036027,1267.252341,-234974.5302,1.78545E+13,0.562832162,2,5088939.362
186.2214527,1715.642892,-236174.6309,1.78545E+13,0.562832162,2,5091339.564
1663.208001,374.8986786,-317425.3375,1.78545E+13,0.562832162,2,5253840.977
1722.549291,1049.216494,-266096.3741,1.78545E+13,0.437102696,3,7460680.503
787.6004026,910.8858343,-153091.4695,1.22466E+13,1,3,7234670.694
294.0681254,1347.099858,-191552.0405,1.22466E+13,1,3,7311591.836
442.8242776,353.5722829,-211900.8122,1.78545E+13,0.450581911,3,7352289.38
1964.969813,491.8298826,-327863.7469,1.78545E+13,0.445780022,3,7584215.249
1510.055725,1160.062458,-146568.5152,1.22466E+13,1,3,7221624.786
1628.36933,1974.168381,-238958.4986,1.78545E+13,0.562832162,2,5096907.299
1257.468922,379.4286237,-274629.1702,1.78545E+13,0.562832162,2,5168248.642
1808.546448,1276.839391,-263144.6731,1.78545E+13,0.562832162,2,5145279.648
1078.713579,415.0258158,-155876.948,1.22466E+13,0.985229406,4,9549739.105
1212.533268,1368.618085,-231354.6187,1.78545E+13,0.562832162,2,5081699.539
1268.524062,876.6051504,-244744.1083,1.78545E+13,0.562832162,2,5108478.518
1703.181004,281.7686996,-344674.4586,1.78545E+13,0.562832162,2,5308339.219
1189.761882,723.0873704,-245168.9096,1.78545E+13,0.562832162,2,5109328.121
921.3991692,935.6128829,-224944.5983,1.78545E+13,0.562832162,2,5068879.498
1797.878489,800.8430654,-284541.606,1.78545E+13,0.562832162,2,5188073.514
1787.533404,1313.11435,-260773.9743,1.78545E+13,0.562832162,2,5140538.25
757.4163178,502.6785977,-225087.2785,1.78545E+13,0.562832162,2,5069164.859
656.0004461,968.2847633,-157940.137,1.22466E+13,1,3,7244368.029
1651.975251,720.4038487,-152849.2572,1.22466E+13,1,3,7234186.27
1072.611643,1854.506102,-222316.6519,1.78545E+13,0.562832162,2,5063623.606
1232.071523,1173.635508,-235424.9056,1.78545E+13,0.562832162,2,5089840.113
846.4492525,1451.636876,-218558.9805,1.78545E+13,0.562832162,2,5056108.263
1450.316955,910.1869423,-254854.7827,1.78545E+13,0.562832162,2,5128699.867
783.9085165,1240.585642,-217741.0968,1.78545E+13,0.562832162,2,5054472.495
760.9871679,1401.893428,-160615.3962,1.22466E+13,1,3,7249718.548
1475.378821,1980.411529,-150659.0624,1.22466E+13,1,3,7229805.88
525.5694334,1454.62669,-215384.8615,1.78545E+13,0.562832162,2,5049760.025
53.85541015,503.0622502,-239457.9503,1.78545E+13,0.562832162,2,5097906.202
720.2242986,1019.91243,-156461.9311,1.22466E+13,1,3,7241411.617
