"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"36",-2536185.85447381,17902031451627.3,0.450581910557098,3,12000859.4641071,150949.94419116,-252365.58830707,-8.62819537371903e-05,20,45888044.5753118,-1035188.03256752,-94836300404.2151,0,1,4379868.91340807
"37",-2537191.2732316,17902032920997.1,0.548412006866433,3,12002870.3016227,151031.31643625,-254418.281895178,-0.00251463596715258,20,45887881.8308216,-1035188.03256752,-94836300404.2151,0,1,4379868.91340807
"38",-2537286.46351198,17902038543903.5,0.562832161837819,2,9693563.2287402,150935.261694665,-253874.911398812,-0.00714571453223416,20,45888073.9403048,-1035188.03256752,-94836300404.2151,0,1,4379868.91340807
"39",-2537286.46351198,17902038543903.5,0.562832161837819,2,9693563.2287402,150895.114557979,-253859.39934316,-0.00514918530013401,20,45888154.2345781,-1035188.03256752,-94836300404.2151,0,1,4379868.91340807
"40",-2537063.98034088,17902032272492.7,0.534778941412533,3,12002615.7158412,150908.322412841,-253837.848007945,0.00032146525431037,20,45888127.8188684,-1035188.03256752,-94836300404.2151,0,1,4379868.91340807
"41",-2537147.22406381,17902032885918.7,0.548412006866433,3,12002782.2032871,150705.575604564,-252680.265150009,0.00359276760260866,20,45888533.312485,-1035188.03256752,-94836300404.2151,0,1,4379868.91340807
"42",-2537286.46351198,17902038543903.5,0.562832161837819,2,9693563.2287402,150930.739755557,-251893.336669482,-0.00126285405015335,20,45888082.984183,-1035188.03256752,-94836300404.2151,0,1,4379868.91340807
"43",-2537191.2732316,17902032920997.1,0.548412006866433,3,12002870.3016227,150940.064615285,-249085.068964746,-0.00126285405015335,20,45888064.3344635,-1035188.03256752,-94836300404.2151,0,1,4379868.91340807
"44",-2536113.31802628,17902031516573.8,0.437102696407486,3,12000714.391212,150955.520197255,-253368.45826402,-0.000494361920007535,20,45888033.4232996,-1035188.03256752,-94836300404.2151,0,1,4379868.91340807
"45",-2537286.46351198,17902038543903.5,0.562832161837819,2,9693563.2287402,150965.763135093,-251731.842267646,-0.0118828044674322,20,45888012.9374239,-1035188.03256752,-94836300404.2151,0,1,4379868.91340807
"46",-2537286.46351198,17902038543903.5,0.562832161837819,2,9693563.2287402,150863.664751115,-253026.549319076,0.0101510914773128,20,45888217.1341919,-1035188.03256752,-94836300404.2151,0,1,4379868.91340807
"47",-2537286.46351198,17902038543903.5,0.562832161837819,2,9693563.2287402,150705.352266861,-248466.653779377,-0.00460811496856329,20,45888533.7591604,-1035188.03256752,-94836300404.2151,0,1,4379868.91340807
"48",-2537286.46351198,17902038543903.5,0.562832161837819,2,9693563.2287402,151101.238611826,-253124.948774008,0.0233990826048985,20,45887741.9864704,-1035188.03256752,-94836300404.2151,0,1,4379868.91340807
"49",-2537286.46351198,17902038543903.5,0.562832161837819,2,9693563.2287402,150869.275412174,-250117.050676017,0.00701163382819539,20,45888205.9128697,-1035188.03256752,-94836300404.2151,0,1,4379868.91340807
"50",-2537286.46351198,17902038543903.5,0.562832161837819,2,9693563.2287402,150919.982124712,-251813.790648975,0.00149755764812883,20,45888104.4994447,-1035188.03256752,-94836300404.2151,0,1,4379868.91340807
"51",-2537286.46351198,17902038543903.5,0.562832161837819,2,9693563.2287402,150572.350652467,-253017.401873017,0.00367753044480977,20,45888799.7623892,-1035188.03256752,-94836300404.2151,0,1,4379868.91340807
"52",-2537286.46351198,17902038543903.5,0.562832161837819,2,9693563.2287402,150714.12935298,-249727.244669205,0.0117936501737806,20,45888516.2049881,-1035188.03256752,-94836300404.2151,0,1,4379868.91340807
"53",-2537286.46351198,17902038543903.5,0.562832161837819,2,9693563.2287402,151013.849283211,-253149.853897588,0.00614263159135005,20,45887916.7651277,-1035188.03256752,-94836300404.2151,0,1,4379868.91340807
"54",-2537286.46351198,17902038543903.5,0.562832161837819,2,9693563.2287402,150843.380784901,-252520.053825591,-0.00902918627688983,20,45888257.7021243,-1035188.03256752,-94836300404.2151,0,1,4379868.91340807
"55",-2537286.46351198,17902038543903.5,0.562832161837819,2,9693563.2287402,150783.870435947,-252560.456451094,-0.00545157329120161,20,45888376.7228222,-1035188.03256752,-94836300404.2151,0,1,4379868.91340807
"56",-2537286.46351198,17902038543903.5,0.562832161837819,2,9693563.2287402,150594.002427136,-253501.245513539,-0.00646036112561467,20,45888756.4588398,-1035188.03256752,-94836300404.2151,0,1,4379868.91340807
"57",-2536592.56661423,17902031759902,0.498805924309898,3,12001672.8883879,150785.466465795,-251473.584588554,-0.00427835091863311,19,43578876.0773193,-1035188.03256752,-94836300404.2151,0,1,4379868.91340807
"58",-2537286.46351198,17902038543903.5,0.562832161837819,2,9693563.2287402,150928.739169756,-252380.479017961,-0.00752852605575815,20,45888086.9853546,-1035188.03256752,-94836300404.2151,0,1,4379868.91340807
"59",-2537286.46351198,17902038543903.5,0.562832161837819,2,9693563.2287402,151072.929710415,-254747.153688953,-0.0104128162578352,20,45887798.6042733,-1035188.03256752,-94836300404.2151,0,1,4379868.91340807
"60",-2537286.46351198,17902038543903.5,0.562832161837819,2,9693563.2287402,151031.902899089,-254122.109371685,0.00220030647125849,20,45887880.6578959,-1035188.03256752,-94836300404.2151,0,1,4379868.91340807
